t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power,focus1,focus2
   8.6172, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.0000, 0.0000, 0.0000, 0.0000,0,1.50247017318,1.37701927226
   8.7344, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50814642509,1.37024801168
   8.9925, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50524969397,1.37387065425
   9.1280, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.49609033794,1.3706309006
   9.2541, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.51020754502,1.37756374375
   9.3874, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50909185737,1.37331578862
   9.5210, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50988285663,1.37010621972
   9.6491, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50189090204,1.37175941824
   9.7756, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50453158907,1.3774460169
   9.9036, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50662101304,1.3792386357
  10.0402, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50432130182,1.36641467674
  10.3263, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.508287863,1.37276920006
  10.5147, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50661876547,1.37136708332
  10.7951, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50143329964,1.37656104997
  10.9277, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50580596788,1.37927218231
  11.0544, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50851516016,1.37554380843
  11.1870, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.51475720961,1.37095322964
  11.3126, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50837895182,1.37740026553
  11.4393, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.511757718,1.37573125134
  11.5659, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50763953817,1.37335398275
  11.6856, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.51406517874,1.37651350286
  11.8132, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.51232338063,1.37340815721
  12.0693, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.51181865681,1.38405078093
  12.3118, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.5071694829,1.3724006068
  12.4563, 0.0400,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.51066320299,1.37751519281
  12.5931, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.52025051778,1.37141887535
  12.7806, 0.0405,-0.0434, 0.3225, 0.0060, 0.0336, 0.3225, 0.9717, 0.4697, 6.3938, 5.6177, 0.2626, 0.0000, 0.0315, 0.2940,0,1.50185063633,1.37232132161
