t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power,focus1,focus2
23052.1999,-0.0155,-0.0029,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.1880, 0.1800, 0.0900, 0.0980,0,1.72773356776,1.60841329712
23052.2063,-0.0155,-0.0034,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.1880, 0.1800, 0.0900, 0.0980,0,1.72354011049,1.60992129744
23052.2761,-0.0155,-0.0034,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.1880, 0.1800, 0.0900, 0.0980,0,1.72254101844,1.61790940115
23052.4077,-0.0160,-0.0034,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.72064565146,1.61488420994
23052.6571,-0.0160,-0.0034,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.71730105383,1.61326189947
23052.8729,-0.0155,-0.0034,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.72529582169,1.61332675048
23053.0258,-0.0155,-0.0034,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.72460898581,1.60634300576
23053.1393,-0.0155,-0.0039,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.72606408563,1.60788285387
23053.2931,-0.0155,-0.0039,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.73305732346,1.60788308345
23053.3993,-0.0155,-0.0039,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.74210976021,1.60240142529
23053.5420,-0.0155,-0.0039,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.74092864036,1.5956533857
23053.6406,-0.0155,-0.0039,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.74211069341,1.5995930183
23053.7857,-0.0155,-0.0044,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.75718093167,1.58855294002
23053.9095,-0.0155,-0.0044,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.76237159178,1.59182815429
23054.1605,-0.0155,-0.0044,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.76030610208,1.58487308215
23054.2804,-0.0155,-0.0049,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.76323469069,1.58005946906
23054.5423,-0.0155,-0.0054,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.6200, 1.0120, 0.7020, 0.3100,1,1.78140275695,1.57434107825
23054.6636,-0.0170,-0.0054,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.6200, 1.0520, 0.7420, 0.3100,1,1.77069660315,1.57212659115
23054.7935,-0.0160,-0.0049,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.6800, 1.1120, 0.7720, 0.3400,1,1.78108636759,1.57870866475
23054.9201,-0.0150,-0.0039,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.6400, 1.0320, 0.7120, 0.3200,1,1.79484744496,1.56865521422
23055.0492,-0.0140,-0.0029,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.80077433758,1.57471040407
23055.1782,-0.0125,-0.0024,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.80378619529,1.57828203114
23055.3057,-0.0110,-0.0029,-0.0153, 0.0060, 0.0336,-0.0153, 0.9717, 0.4697, 6.0560, 3.3480, 0.3056,-0.3056,-0.3056, 0.3056,1,1.8066397218,1.57393147271
