t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power,focus1,focus2
68753.9757, 0.0010,-0.0004,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.0600, 0.0920, 0.1520, 0.1200,0,1.59112423021,1.48275261706
68754.1152, 0.0010,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58798386615,1.47662861614
68754.2191, 0.0010,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58309459809,1.48486422254
68754.5005, 0.0005,-0.0004,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58140410603,1.48493397722
68754.7559, 0.0005,-0.0004,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58931586635,1.49091738264
68754.8646, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58086745561,1.48724533633
68755.0596, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58482183517,1.4859053969
68755.2443, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.59023418486,1.48508176439
68755.3849, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.59262771007,1.48683619131
68755.5240, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58356772701,1.49031277567
68755.6581, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58986798758,1.49087863483
68755.7638, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58595092093,1.48897412311
68755.9064, 0.0005,-0.0009,-0.1104, 0.0060, 0.0336,-0.1104, 0.9717, 0.4697, 5.9609, 6.1813, 0.2076,-0.2076,-0.2076, 0.2076,1,1.58213342544,1.48783855485
