t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power,focus1,focus2
21884.0727,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64670747047,1.50517279485
21884.3415,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65466443608,1.49453157125
21884.4774,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65172127325,1.50001496986
21884.5840,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65535956073,1.49781384059
21884.7206,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64800183629,1.50182541542
21884.9760,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65932543024,1.49460274765
21885.2733,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65084455814,1.49843843332
21885.5130,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64639687372,1.50811670871
21885.9274,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64894428885,1.49439361292
21886.0004,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65746349168,1.49864516644
21886.1441,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64121464263,1.50334321697
21886.2728,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65323352605,1.50272141742
21886.5169,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64236307319,1.49641653034
21886.7993,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64486011311,1.50569612155
21887.0331,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.6426562659,1.4995049174
21887.3098,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64887284861,1.49217190151
21887.5549,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64648241653,1.4942628722
21887.8370,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65235155657,1.49993289017
21887.9685,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64734764675,1.4971461724
21888.1876,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65497769397,1.49435167885
21888.4525,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64106590848,1.48931978214
21888.7106,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65208542984,1.49441543503
21888.9623,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65268225235,1.5007886081
21889.2207,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63591893834,1.49762978921
21889.5152,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.6428699762,1.4938895186
21889.7664,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64273052323,1.50427597647
21890.0083,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65364971053,1.49383014722
21890.2543,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.6361493624,1.49696233183
21890.5080,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63648140363,1.50053880145
21890.7572,-0.0039,-0.0011, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64913547181,1.49907115882
21891.0145,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64226616267,1.50134268299
21891.1349,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65041582974,1.49642338294
21891.2798,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64140374659,1.49810071097
21891.3968,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64862617214,1.49422907704
21891.6788,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64953925422,1.50018283844
21891.9172,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64281684116,1.50200003903
21892.1710,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63694182874,1.49866227471
21892.4323,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64507017303,1.50170247035
21892.6885,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64212585082,1.49916679947
21892.8209,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64975737595,1.49552944882
21892.9387,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64591980375,1.49834193967
21893.2625,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64784020148,1.49927349126
21893.5045,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64577142288,1.50425375444
21893.7901,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65128192485,1.49825591335
21893.9632,-0.0039,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64447058696,1.49655674601
21894.2373,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64262019925,1.50135636091
21894.4880,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64824514971,1.49952889252
21894.6039,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.6390031808,1.50079212653
21894.7474,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64625776583,1.49263850357
21894.9998,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63671450905,1.50365804305
21895.2570,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64847573634,1.50309483888
21895.5042,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63761483587,1.49904377551
21895.7583,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64040767613,1.50109898386
21896.0503,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63680936108,1.4973549154
21896.2358,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64117538995,1.50522846433
21896.3543,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64565999514,1.50164344184
21896.5606,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64940962896,1.50084072076
21896.8052,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64138171414,1.50356111528
21897.0560,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64822556581,1.5019289536
21897.3138,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.65082577956,1.4979832949
21897.5814,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64648696818,1.50508759597
21897.8262,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63963553696,1.49712396415
21897.9448,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64583522211,1.4971849065
21898.0853,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.6387003213,1.50080451848
21898.1964,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64244360777,1.50274306822
21898.4832,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63655386475,1.49563715648
21898.7572,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64523171673,1.49949215859
21898.9784,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.63760442337,1.49970623558
21899.2440,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.62974433765,1.50099563717
21899.4937,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.6459350789,1.50226259178
21899.6117,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64059936291,1.49690892337
21899.7273,-0.0044,-0.0016, 0.2444,-0.0319, 0.0019, 0.2444, 0.9338, 0.4380, 6.3157, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.64106728152,1.49829143631
