t,bead x,bead y,bead z,focus1,focus2
 226.1714, 0.0036,-0.0011, 0.4930,1.64634092337,1.46140488929
 226.3398, 0.0036,-0.0011, 0.4930,1.65399189652,1.46518307315
 226.5986, 0.0036,-0.0011, 0.4930,1.64692602931,1.46611321853
 226.8840, 0.0036,-0.0011, 0.4930,1.65335760344,1.46818338863
 227.1370, 0.0036,-0.0011, 0.4930,1.65305053949,1.4662129264
 227.3809, 0.0036,-0.0011, 0.4930,1.65430588089,1.45846905735
 227.5220, 0.0036,-0.0011, 0.4930,1.64589177963,1.46086254778
 227.7696, 0.0036,-0.0011, 0.4930,1.65203372701,1.46386641133
 228.0116, 0.0036,-0.0011, 0.4930,1.64451090279,1.46001122472
 228.2818, 0.0036,-0.0011, 0.4930,1.642690968,1.46300372718
 228.5225, 0.0036,-0.0011, 0.4930,1.65096607484,1.46478259297
 228.7978, 0.0036,-0.0011, 0.4930,1.65544313913,1.4635007355
 229.0557, 0.0036,-0.0011, 0.4930,1.64692996818,1.45477668976
 229.2997, 0.0036,-0.0016, 0.4930,1.64898044895,1.46363495528
 229.5718, 0.0036,-0.0016, 0.4930,1.64105378946,1.46611059185
 229.8275, 0.0036,-0.0016, 0.4930,1.65086774625,1.46546855404
 230.0686, 0.0036,-0.0016, 0.4930,1.65622811446,1.46162869551
 230.3465, 0.0036,-0.0016, 0.4930,1.65727328378,1.46124546291
 230.5923, 0.0036,-0.0016, 0.4930,1.64918263549,1.46418117978
 230.8428, 0.0036,-0.0016, 0.4930,1.64968321755,1.46535340066
 231.0933, 0.0036,-0.0016, 0.4930,1.64170459036,1.46383639754
 231.3452, 0.0036,-0.0016, 0.4930,1.64467597107,1.46640206046
 231.6227, 0.0036,-0.0016, 0.4930,1.64494474558,1.46851858967
 231.8957, 0.0036,-0.0016, 0.4930,1.64192104863,1.46223013502
 232.1524, 0.0036,-0.0016, 0.4930,1.64922671897,1.45799561377
 232.3704, 0.0036,-0.0016, 0.4930,1.64442786366,1.45886215649
 232.5212, 0.0036,-0.0016, 0.4930,1.6562365782,1.46616300659
 232.7712, 0.0036,-0.0016, 0.4930,1.64794357724,1.46918403208
 233.0490, 0.0036,-0.0016, 0.4930,1.64774915708,1.46419997367
 233.2943, 0.0036,-0.0016, 0.4930,1.64195113475,1.46643069584
 233.5366, 0.0036,-0.0016, 0.4930,1.64747892806,1.46584211036
 233.7900, 0.0036,-0.0016, 0.4930,1.65184502666,1.46182540917
 234.0687, 0.0036,-0.0016, 0.4930,1.65092700473,1.46506311043
 234.3348, 0.0036,-0.0016, 0.4930,1.65528738734,1.46403922954
 234.5755, 0.0036,-0.0016, 0.4930,1.64798233199,1.46964307346
 234.8503, 0.0036,-0.0016, 0.4930,1.64505653708,1.46489531943
 235.0706, 0.0036,-0.0016, 0.4930,1.64737657389,1.46473731575
 235.3601, 0.0036,-0.0016, 0.4930,1.64702459642,1.4706947511
 235.6111, 0.0036,-0.0016, 0.4930,1.64830564445,1.46653180422
 236.0176, 0.0036,-0.0021, 0.4930,1.66167927525,1.45952765468
 236.1259, 0.0036,-0.0021, 0.4930,1.64473419786,1.46191073794
 236.3827, 0.0036,-0.0021, 0.4930,1.64675424068,1.46168161285
 236.6328, 0.0036,-0.0021, 0.4930,1.65000135063,1.47166130016
 236.9146, 0.0036,-0.0021, 0.4930,1.65006633783,1.46275014781
 237.1845, 0.0036,-0.0021, 0.4930,1.64327353307,1.46064886735
 237.5917, 0.0036,-0.0021, 0.4930,1.65707355641,1.46100740365
 237.7870, 0.0036,-0.0021, 0.4930,1.6409143441,1.46095387954
 238.0557, 0.0036,-0.0021, 0.4930,1.64750751502,1.4603701663
 238.2911, 0.0036,-0.0021, 0.4930,1.65476384524,1.46352605969
 238.5449, 0.0036,-0.0021, 0.4930,1.65123498036,1.46713924023
 239.1696, 0.0036,-0.0021, 0.4930,1.65750952611,1.45824593092
 239.1826, 0.0036,-0.0021, 0.4930,1.64615227918,1.46230973153
 239.3626, 0.0036,-0.0021, 0.4930,1.65230640284,1.47036870926
 239.5869, 0.0036,-0.0021, 0.4930,1.65275747687,1.46618924286
