t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power,focus1,focus2
  64.2712, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69836926804,1.5286952557
  64.3522, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69203100189,1.52790727772
  64.6311, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68412493308,1.53750563433
  64.7490, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69484066737,1.52676396914
  64.9938, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68858960264,1.53604687309
  65.2369, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69415634331,1.53425359562
  65.5018, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69494981335,1.53866165993
  65.7746, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69644720658,1.53826640394
  66.0378, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69336726024,1.5274416886
  66.3979, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68605206356,1.53402400792
  66.6582, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69057654508,1.53372397267
  66.9296, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68654698868,1.53417522499
  67.4360, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68966587892,1.52804632049
  67.4432, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.69395320687,1.53609761222
  67.6878, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.67776985762,1.53426323313
  67.9667, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68597372768,1.54548530961
  68.0616, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.67757306266,1.52973958233
  68.3604, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68046820592,1.54099757473
  68.5904, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.67125388513,1.54205693008
  68.8252, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.68034419862,1.54420601649
  69.1012, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.67915111243,1.53178187382
  69.3685, 0.0116, 0.0124, 0.2714,-0.0319, 0.0019, 0.2714, 0.9338, 0.4380, 6.3427, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False,1.67197916797,1.54226642465
