t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power
   8.9359, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.0353, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.1356, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.2793, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.4100, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.5136, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.6505, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.7812, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
   9.9099, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  10.1777, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  10.4045, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  10.6749, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  10.8055, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  10.9399, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  11.0836, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  11.1979, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  11.3713, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  11.4724, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  11.5736, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  11.8493, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  12.0838, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  12.3529, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  12.4858, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  12.6281, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  12.7260, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  12.8659, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  13.0048, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  13.1075, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  13.2392, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  13.5111, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  13.9328, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  14.0355, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  14.1395, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  14.2863, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
